Comments,sentiment
এই দামে সেরা ডিল হয়েছে সাথে ১১ঃ১১ এ ফ্রি অর্ডার তো আছেই,Positive
একদম বাজে জিনিস কোন কাজের নয় ,Negative
কেউ কিনবেন না কিনলে আমার মত ধরা খাবেন,Negative
"আলহামদুলিল্লাহ, ভালো একটি প্রোডাক্ট পেয়েছে।",Positive
ধন্যবাদ জানাই দারাজ কে। পণ্যটি ব্যবহার করে দেখলাম অনেক ভালো লেগেছে ,Positive
"গুটির মেন হ্যান্ডেল এর ঘাড় ভাঙ্গা আমি কি করবো,",Negative
এমন বাজে প্রোডাক্ট দেওয়ার আগে আপনারা কি চেক করে দেখেন না?,Negative
"পন্যটি ভালো,",Positive
বাসায় ব্যবহারের জন্য উপযুক্ত।,Positive
" এই প্রথম একটা জিনিস মনের মত হলো,,,",Positive
খুবই সুলভ মূল্যে আপনারা ও নিতে পারেন,Positive
অবশেষে পছন্দের পন্যটি হাতে পেলাম,Positive
চমৎকার ডিজাইন,Positive
কোয়ালিটি ও যথেষ্ট ভাল।,Positive
একদম আসল,Positive
ওনেক ওনেক ভালো❤️,Positive
জারা নিতে চান চোক বন্দো করে নিতে পারেন ☺️,Positive
১৫ দিন পর রিভিউ দিলাম। যার কিন্তে চাচ্ছেন নিঃসন্দেহে কিনতে পারেন,Positive
প্রোডাক্টটি খুবই ভালো,Positive
যদি টাকা দেখেন তাহলে এটা ১০০% ভালো ,Positive
এতো কম দামে এর থেকে আর ভালো কিছু হয় না,Positive
দাম অনুযায়ী জিনিস ভালো,Positive
এমন একটা বক্স থাকা খুবিই উপকারি।,Positive
কম দামে এর চেয়ে ভাল আর হয় না।,Positive
এই দামের মাঝে এইটা বেস্ট একটা প্রোডাক্ট।,Positive
এটি নিতে পারেন।,Positive
শুধু  ৪-৫ মিনিট এর মত ব্যাবহার করেছি,Negative
"এটা আর চলছে না,",Negative
একটা নিয়ে ১বার ব্যাবহার করলে যদি এমন অবস্থায় পরতে হয় ,Negative
আলহামদুলিল্লাহ যেমন চেয়েছি তেমনি পেয়েছি,Positive
daraj কে ধন্যবাদ এবং দারাজের ডেলিবয়কে অসংখ্য ধন্যবাদ 🙏🙏🙏,Positive
সুন্দর একটা ট্রিমার। ,Positive
অনেকক্ষণ চার্জ থাকে।,Positive
ব্যবহার ও যতেষ্ট স্মুথ। ,Positive
"সবকিছু ঠিকঠাক ছিল, সেলার এর রেসপন্স ভাল ছিল।",Positive
"দারাজ ভাউচার ও ক্যাশব্যক মিলিয়ে অনেক কম টাকায় পেয়েছি, ধন্যবাদ।",Positive
"ধন্যবাদ সেলারকে এতো সুন্দর একটা প্রডাক্ট দেওয়া জন্য,",Positive
" আমি অনেক খুশি 😃😃😃,সবাই নিতে পারেন।",Positive
আলহামদুলিল্লাহ্   ভালো  ছিল ।।,Positive
পরবর্তীতে  গ্রাহক রা কোনো হেরেসমেন্ট  এর শিকার হবে  না ।।,Positive
"কথায় কাজে মিল আছে, ",Positive
"যথেষ্ট শক্ত ও মজবুত,",Positive
নিতে পারেন নিঃসন্দেহে।,Positive
ছবিতে দেখলাম বড় সাইজের কিন্তু পেলাম ছোট!,Negative
1mm ক্লিপটি ভাঙা ।,Negative
ট্রিমার মেশিনের উপর অনেক দাগ ছিল। ,Negative
তেলের বোতলে অনেক কম তেল ছিলো।,Negative
পেকেজিংটা খুবই বাজে ছিলো। ,Negative
ডেলিভারি ম্যানটি খুবই হেল্পফুল ছিলো। ,Positive
এমনিতে ভালো আপনারা চাইলে নিতে পারেন।,Positive
দেখলাম মোটামুটি ভালো মনে হলো। ,Positive
আপনারা চাইলে নিতে পারেন।,Positive
অল্প টাকায় খুব ভালো মানের পূন্যে পেয়েছি। ,Positive
ধন্যবাদ দারাজ এবং ডেলিভারি ম্যান কে এতো সুন্দর পূন্যে দেওয়ার জন্য।,Positive
সবগুলা প্রোডাক্ট ভালো দেওয়া হয়নি ,Positive
চোর বাটপার😡😡😡,Negative
কম টাকায় খুবই ভাল একটি ট্রিমার। ,Positive
সবাই নিতে পারেন। ,Positive
এইবার দিয়ে ২ বার অর্ডার করলাম।,Positive
প্রাইজ অনুযায়ী প্রডাক্টটি মোটামোটি ভালো কাজ চলে।,Positive
দাম হিসেবে আমি স্যাটিসফাই।,Positive
দাম হিসেবে প্রোডাক্টটা ভালো কিন্তু কভার টা আরেকটু ভালো করা উচিত ছিল,Positive
মোটমুটি ভালো একটা Trimmer,Positive
অনেক দারুন একটা জিনিস,Positive
চার্জ ও ভালো থাকে,Positive
ধন্যবাদ সুন্দরভাবেই ডেলিভারি পেয়েছি,Positive
ধন্যবাদ দারাজ তিনদিনেরও কম সময়ের মধ্যে ডেলিভারি পেয়ে গেছি । ,Positive
দারাজ আমাকে হতাশ করেনি।,Positive
প্রোডাক্টটা অনেক ভালো আপনারা চাইলে কিনতে পারেন।,Positive
এক কথায় অসাধারন ছিল।ধন্যবাদ সেলারকে।,Positive
পন্যটি  পেয়ে আমি অনেক খুশি।,Positive
 সব ঠিক ছিল।,Positive
 ভালো মত চলছে।,Positive
 আপনাদের মত সেলার দের কাছে আমরা পন্য ক্রয় করে ভরসা পায়।,Positive
এক কথায় অসাধারণ ছিল। ❤️❤️❤️,Positive
পন্য আলহামদুলিল্লাহ ভালো।,Positive
 প্যাকেট খুলে দেখলাম দাম অনুসারে ঠিক আছে।,Positive
"বাজেট হিসেবে কোয়ালিটি ,আউট লুক  ভালো।",Positive
"খুব ভালো, কাজ করতে💖",Positive
এই প্রাইজ রেঞ্জে এটা সেরা একটা জিনিস!,Positive
সেলারকে ধন্যবাদ এবং এই সেলার রিকমন্ডেড!!,Positive
দাম হিসাবে অনেক ভালো বক্স,Positive
প্রোডাক্ট ফ্রেশ ছিলো।,Positive
চার্জ ভালোই থাকে।,Positive
"নতুন অবস্থায় ৩বার ব্যবহার করেছি, চার্জ নিয়ে ইস্যু হয়নি। ",Positive
"কিছুটা দুর্বল বিল্ড কোয়ালিটি হওয়ায়, ঝাঁকুনি বা হাত থেকে না ফালানো !",Negative
মনের মত পেয়েছি।,Positive
প্যাকেজিং দারাজ আরেকটু গুরুত্ব দিয়ে করার অনুরোধ থাকলো!,Negative
প্রোডাক্ট রিসিভ নিয়ে সেটিসফাইড!,Positive
স্ক্রু ড্রাইভার সেটটা একদম ঠিকঠাকভাবে হাতে পেয়েছি। ,Positive
সব মিলায়ে দারাজকে অনেক অনেক থ্যাংকস,Positive
কেউ নিতে চাইলে নিতে পারেন। ভালো প্রোডাক্ট!,Positive
অর্ডার করছিলাম ট্রিমার কিন্তু পাঠাইলেন মটর ভাজা।,Negative
কোন সুস্থ মস্তিষ্কের মানুষ এইকাজ করতে পারে বলে মনে হয় না!,Negative
এই হলো আমাদের দেশের শীর্ষস্থানীয় দারাজ শপিংমলের অবস্থা 😄😄😄,Negative
মানুষের বিশ্বাস নিয়ে ছিনিমিনি করে কিভাবে ব্যবসা করবেন আমার ক্ষুদ্র মস্তিষ্কে ঢুকে না।,Negative
আমি আমার অর্ডারের প্রোডাক্ট ট্রিমার চাই।,
এইভাবে মানুষ কে হয়রানি না করলেও পারেন আপনারা।,Negative
প্রোডাক্ট না থাকলে অর্ডার নেন কেন আপনারা?,Negative
ড্রাইভারের ভিতরে স্ক্রু খোলার পয়েন্ট আটকে না!,Negative
খুলে চলে আসে,Negative
প্রডাক্টটি অসাধারণ ভালো।,Positive
দেখতেও খুব সুন্দর। ,Positive
 আমার অনেক পছন্দ হয়েছে। ,Positive
আমি সবকিছু ঠিক ভাবে পেয়েছি। ধন্যবাদ।,Positive
খুবই ভালো প্রোডাক্ট।,Positive
একদম ফ্রেশ প্রডাক্ট পেয়েছি আলহামদুলিল্লাহ। ,Positive
 সেলার খুবই ভালো। যেভাবে যেটা বলেছিলাম ঠিক সেভাবেই সেটা পাঠিয়েছে।,Positive
"সেলারকে অনেক ধন্যবাদ, একদম ঠিক করে ভালো প্রোডাক্ট টা পাঠানোর জন্য।",Positive
আলহামদুলিল্লাহ সবমিলিয়ে প্রডাক্ট অনেক সুন্দর হয়েছে।,Positive
"সবকিছু ঠিকঠাক,কয়েকবার ব্যবহার করে রিভিউ দিলাম।",Positive
ভাবছিলাম হাতলটা ড্রিল বিটের মত হবে। কিন্তু স্প্রিং আর হাতলটা পাতলা। ,Negative
যেমনটা চেয়েছিলাম পেয়েছি আলহামদুলিল্লাহ	,Positive
পণ্যটি আমার কাছে ভালো লেগেছে। ,Positive
ধন্যবাদ সেলারকে স্বল্প সময়ে পৌছানোর জন্য।,Positive
আলহামদুলিল্লা অনেক ভালো মানের প্রডাক্ট নিতে চাইলে নিতে পারেন !,Positive
সেলার ভাই খুব তাড়াতাড়ি পাঠাইছে .আর পেকেটিং ও ছিলো,Positive
সবকিছুই ঠিক আছে পন্যটি সুন্দর,Positive
বক্স এর ভিতরে ক্যাবেল টি ও তেল পাইনি ক্যাবেল ছাড়া চার্জ দিব কেমনে,Negative
দাম হিসাবে জিনিসটা অনেক ভালো। ,Positive
সবকিছুই ঠিকঠাক ছিল।প্যাকেজিংটাও অনেক ভালো,Positive
এতো সুন্দর পণ্য দেওয়ার জন্য মাত্র ২ দিনের মধ্যেই হোম ডেলিভারি পেয়ে গেলাম।🖤,Positive
আলহামদুলিল্লাহ আমি সম্পূর্ণ সন্তুষ্ট 🖤।,Positive
যেমন টা চেয়েছি ঠিক তেমনই পেয়েছি ✌️,Positive
"এক কথায় অসাধারণ ছিল, ",Positive
এই বাজেটের মধ্যে এর থেকে ভালো পাওয়া কোন ভাবে সম্ভব না।,Positive
হালকা পাতলা কাজের জন্য খুবই উপযোগী।,Positive
মেশিনটি খুব ভালো কোন সমস্যা নেই ,Positive
 মেশিনটির প্লাস্টিক প্যাকেট ভাঙ্গা ছিল ,Negative
জিনিসপত্রগুলো অগোছালো ছিল বলা যায় না এটা আগে কেউ ব্যবহার করছে কিনা । ,Negative
মেশিনটি খুব ভালো নির্দ্বিধায় কিনতে পারেন ।,Positive
অরিজিনাল প্রডাক্ট।,Positive
সেলার খুব ভালো প্রডাক্ট দিয়েছে।,Positive
সত্যি ই কার্যকর মশার বিরুদ্ধে। ধন্যবাদ সেলার কে অরিজিনাল প্রোডাক্ট দেয়ার জন্য।,Positive
বক্স চারদিক দিয়েই ফাটা 😡 ,Negative
যে পেকেটিং ছিলো তা দেখে বুঝা যায় যে এইটা কুরিয়ার এ ভাঙেনি। সেলার ইচ্ছা করে ভাঙা বক্স দিয়েছে। ,Negative
২৫ টাকার সুপার গ্লু ইউজ করেও ফাটা আবারও বেড়িয়ে যাচ্ছে।,Negative
 রিটার্ন দিতে গেলেও আরও ২০০ টাকা ভাড়া দিয়ে নিয়ে যেতে হবে৷,Negative
বাধ্য হয়ে রেখে দিতে হলো।,Negative
প্রাইজ অনুযায়ী মোটামুটি ছিল ।,Positive
বুঝলাম না তিনদিন  ব্যবহার করতেই শেষ হয় কি করে??,Positive
এক কথায় বলবো অসাধারণ ছিল অল্প বাজেটের মধ্যে খুব সুন্দর একটা জিনিস,Positive
এটা ব্যাবহার করলে মশা কাছে আসে না। আপনিও নিতে পারেন।,Positive
খুবই ভালো একটি পন্য ,Positive
সব মিলিয়ে খুবই ভালো অনেক ভালো।,Positive
ছোটখাটো কাজের জন্য বেশ ভাল একটি প্রোডাক্ট। ,Positive
প্যাকেজিং খুবই বাজে।,Negative
ডায়াপার হিসেবে এ্যাভোনি সেরা। ,Positive
এই নিয়ে দুইবার কিনলাম। ,Positive
ভবিষ্যতে আরো নিবো ইনশাআল্লাহ।,Positive
"অনেক পছন্দ হয়েছে, মূল্য হিসাবে মান টা অনেক ভালো,",Positive
তবে delivery cost টা আরেকটু কমানোর জন্য অনুরোধ করছি।,Negative
খুবই ভালো প্যাম্পার্স। ,Positive
স্ক্রু ড্রাইভার সেটটি বেশ পছন্দ হয়েছে।,Positive
"অনেক ধরনের অপসন, সাথে সহজে ব্যবহারযোগ্য সুদৃশ্য ড্রাইভার।",Positive
"বেশ শক্তপোক্ত মনে হচ্ছে, ",Positive
দুই বক্স অর্ডার করেছিলাম দুই বক্সই ঠিকঠাক পেয়েছি।,Positive
ডবল এক্সএল সাইজের তিনটা ডায়াপার অর্ডার দিয়েছিলাম।কিন্তু দুইটা স্মল সাইজ আর আরেকটা ডবল এক্সেল দিয়েছেন।,Negative
এমন বাটপারি করলেন কেন।,Negative
স্ক্রু ড্রাইভারটা আসলেই অনেক ভালো,Positive
এবার চটের সাদা বস্তায় ডেলিভারী দিয়েছে। খুবই বিরক্তিকর।,Negative
যতটা বড় ভাবছিলাম ঠিক ততটাই ছোট ।।🙂,Negative
প্যাকেজিং বাজে ছিলো। ,Negative
প্রোডাক্ট যে রকম দেখেছি সেইরকমই পেয়েছি ,Positive
আপনারা দারাজ থেকে অর্ডার করতে পারেন,Positive
এখানে ডেলিভারড দেখালেও আমি প্রোডাক্ট পাইনি। সে কোথায় দিয়ে গিয়েছে কে জানে?,Negative
"ভাল, এর মাধ্যমে অনেক কাজ করা যায়৷",Positive
৩৪ পিসের সাথে আরো ৬ পিস extra দেওয়ার কথা ছিলো। আমি ২ টা ৩৪ পিসের ডায়পার অর্ডার করলাম কিন্তু ১ টার সাথেও বাড়ছি ৬ পিছ দেওয়া হয় নি।,Negative
ডেলিভারি দেওয়ার কথা ছিলো ১ তারিখ। আসলো ৩ তারিখ।,Negative
খুব ভালো লাগছে আমার কাছে পারফেক্ট ,Positive
আপনার কাজ করতে ভালো লাগবে আশা করি,Positive
এই পণ্য টা আমি একদম হাতে পাইনি,Negative
এটা কোন ধরনের আপনাদের ওয়েবসাইট,Negative
খুবি দেরিতে প্রোডাক্ট দারাজকে দেন আপনারা,Negative
খুবি বাজে ডেলিভারি সিস্টেম।,Negative
আমি আগে রেগুলার দারাজ থেকে কেনা কেটা করতাম এখন করিই না বললে চলে। ,Negative
এক্সপ্রেস ডেলিভারিতে এড্রেস অফিস ট্যাগ করা আর আমাকে কল করা হয়েছে সন্ধার পর। তাহলে ৮৫ টাকা কেনো দিলাম? ,Negative
ঢাকার বনানীতেই যদি দুই চার দিন যদি বসেই থাকতে হয় বুঝায় যাচ্ছে আনপ্রফেশনালদের দিয়ে দারাজ পরিচালিত হচ্ছে।,Negative
এত খারাপ পন্য দারাজ থেকে আগে কখনো পাই নাই।,Negative
"এটা আমার তিন নাম্বার অর্ডার অসম্ভব ভালো ডায়পার সাথে দামও মার্কেট প্রাইসের চেয়ে কম,",Positive
"ডেলিভারি খুবই তারাতাড়ি পেয়েছি এবং ডেলিভারি ম্যানের ব্যবহার খুবই ভালো,আলহামদুলিল্লাহ খুব ভালো প্রডাক্ট।",Positive
নিতে পারেন সবাই ভালো প্রোডাক্ট ! দ্রুত ডেলিভারি!,Positive
একটু বড় হলে আর সে কাজ করা যায় না।,Negative
এই পর্যন্ত অনেক বার নিয়েছি আলহামদুলিল্লাহ অনেক ভালো অসংখ্য ধন্যবাদ সেলার কে,Positive
এই প্রোডাক্ট টি অনেক ভালো এবং দাম ও সন্তুষ্টযনক খুব ভালো ডায়াপার। ,Positive
যেমুন টা চেয়েছি তেমুন টা পেয়েছি খুব ভাল পণ্যটি,Positive
ভালো প্রোডাক্ট। এভনির কোয়ালিটি যথেষ্ট ভালো।,Positive
পুন্য মোটামুটি ভালো আপনারা সবাই নিতে পারেন ভালো।,Positive
"বাজে একদম,একটা নাট ও খুলতে পারবেন না",Negative
একটা স্ক্রু শুধু একটা নাটের জন্যই ইউজ করতে পারবেন 😄 দ্বিতীয় টা খুলতে গেলে ভেঙ্গে যাবে।,Negative
দাম অনুযায়ী জিনিসটা ভালোই ছিল XL চেয়েছি XLদিয়েছে আলহামদুলিল্লাহ ডেলিভারি বয় ভাল ছিল,Positive
"দাম অনুযায়ী ভালো আছে কিন্তু ম্যাগনেট একটু কম হয়ে গেছে,,,",Positive
"আলহামদুলিল্লাহ, সব কিছু ঠিকভাবে পেয়েছি, ",Positive
"কোয়ালিটিও আলহামদুলিল্লাহ ভালোই, সাইজ ঠিক ছিলো।",Positive
"সেলার ভাই কথা রেখেছেন, যেভাবে বলেছি সে-ভাবেই দিয়েছেন।🥰",Positive
অক্ষত অবস্থায় হাতে পেয়েছি। প্যাকেজিং এর কথা নাই বলি🤣😅🤦‍♂️। ,Negative
আলহামদুলিল্লাহ বাজেট হিসেবে ভালো ।,Positive
যেমনটা দেখছি অমন্টাই দিয়েছে ।,Positive
" কিন্তু চাইলাম xl আমার এ দিল xxl , আর ভিতরের costep গুলো ভালো দিতে পারতো ।।",Negative
এমনিতেই খারাপ না নিতে পারেন ।,Positive
প্রথমেই বলতে গেলে এটা অনেক ছোট কিন্তু দাম হিসেবে ঠিক আছে,Positive
আর মোটামুটি কাজ চলে যাবে সব মিলিয়ে আমি অনেক খুশি ধন্যবাদ দারাজ এবং সেলার কে 🙂,Positive
সস্তা কিন্তু কাজের না.,Negative
উপরের পার্ট কোন মতে হলেও ট্রাউজার অনেক খাটো হয়. সব চেয়ে বড় কথা সেলেই সিল করা নাই.,Negative
প্যাকেজিং ভালো ছিলনা।,Negative
ভিতরে ৩ টা স্ক্রু-ড্রাইভার মিসিং। ,Negative
কেসটা ভাঙা। আমি হাতে পেয়ে টেপ লাগিয়েছি। ,Negative
সেলার সার্বিস ও প্যাকেজিং সন্তোষজনক নয়। ,Negative
প্যাকেজিংটা টেকসই হলে হয়তো কেসটা ভাঙত না।,Negative
তবে দাম হিসেবে প্রডাক্টের মান ভালো বলা চলে।,Positive
অনলাইন পণ্য ভেবে একটু চিন্তিত ছিলাম তবে দাম অনুযায়ী অত্যন্ত ভালো ,Positive
একটি প্রোডাক্ট পেয়েছি যেমন চেয়েছিলাম ঠিক তেমন আপনারাও নিতে পারেন ধন্যবাদ দারাজ ধন্যবাদ সেলার,Positive
আনেক ছোটো🥺🙄😡।,Negative
আমি xl অর্ডার করেছিলাম কিন্তু কোথাও লিখা ছিল না এটা কোন ছাইজ।,Negative
তবে ব্যাগটা আমার পছন্দ হয়েছে অনেক।,Positive
ছবিতে যেরকম দেখা যাচ্ছে সেইম প্রোডাক্ট হাতে পেয়েছি।,Positive
এত সুন্দর মানের একটি প্রোডাক্ট দেওয়ার জন্য।,Positive
প্রোডাক্টটা অনেক অনেক সুন্দর।,Positive
"দাম হিসেবে ঠিক আছে,",Positive
যা চাইছি ঠিক তাই পাইছি। অনেক ভালো লাগতাছে😄,Positive
 আলহামদুলিল্লাহ খুব ভাল ছিল,Positive
"হেন্ডেলের লকটা বেসি নরমাল,",Negative
"কিন্তু আলহামদুলিল্লাহ খুব ভালো একটা রেন কোড পেয়েঠি, ",Positive
কোয়ালেটি বাজে টাইপের,Negative
"অসাধারন,দাম অনুযায়ী খুবই ভালো লাগছে,",Positive
একেবারে বাজে।,Negative
" রং নষ্ট হয়ে গিয়েছে, অনেক জায়গা ছিড়া, দয়া করে কেউ অডার দিয়েন না। ",Negative
কিন্তু এটা পরলে গোসল করা হইয়া যাবে।,Negative
এক দম বাজে এটা কেও নিয়েন না আমার টাকা গুলা জলে গেলো …? বুয়া মাল 😠😠😠😠😡😡😡😡,Negative
আলহামদুলিল্লাহ প্রোডাক্টটা নিয়ে অনেক সন্তুষ্ট হলাম মাশাআল্লাহ এভাবে কাজ অব্যাহত রাখবেন আশা রাখছি 💞,Positive
ছোট কাজের জন্য এই দামে দারুণ প্রোডাক্ট।,Positive
রিকমেন্ডেড। তবে যারা নিয়মিত কাজ করেন তারা বড় সাইজের গুলো নিয়েন।,Positive
 কোনো প্যাকেজিং ছাড়া প্লাস্টিকের ব্যাগে ডেলিভারি হয়েছে বলে উপরের প্লাস্টিকের কভারটা ফেটে গেসে। ,Negative
আমি আরো একটা অর্ডার করব আরেকজনের জন্য।,Positive
ধন্যবাদ সেলারকে এত সুন্দর একটা পোডাক্ট দেওয়ার জন্য,Positive
যেটা আশা করছি তার থেকেও ভালো ছিল ধন্যবাদ 🥰🥰,Positive
ছোট খাটো কাজের জন্য বেস্ট মনে হয়েছে।,Positive
আলহামদুলিল্লাহ যেমনটি চেয়েছিলাম তার থেকে অনেক ভালো টা পাইছি ধন্যবাদ সেলার ভাইকে 🥰🥰,Positive
"পেকেজিং খুবই বাজে ছিল,",Negative
 ইচ্ছে করে ভাঙা প্রোডাক্ট পেপার দিয়ে মোড়াইয়া পেকেট করে দিছে।,Negative
বাজে রেইনকোট এক বার পড়েছি পেন্ট এ নিছ ছিড়ে গেছে	,Negative
100% ওয়াটারপ্রুফ বাজে কথা মিথ্যা দারাজ উপর মানুষের আস্থা কমে যাবে,Negative
১১টা পিন দেয়নি ,Negative
পাস্টিক ঢাকনা ফাটা।,Negative
পতারক সেলার থেকে কোন কিছু কিনবেন না।,Negative
 ধান্দাবাজ সেলার আমি দারাজ হট লাইনে এইটা নিয়ে কমপ্লেন করব।,Negative
আপনাদের মত প্রতারক সেলার যেন না থাকে daraz এর মধ্যে,Negative
সাইজ বা কালার সবকিছুই ঠিক আছে।,Positive
"বক্স ফাটা ছিলো, প্যাকেজিং ভালো ছিলো না,",Negative
সেলার পণ্য এর মানের ব্যাপারে গুরুত্ব দেয় না,Negative
খুব ভালো। যেমনটা চেয়েছি তেমনটাই পেয়েছি।,Positive
ডেলিভারি সময় মত দিয়েছে। যা মনে করছি তা থেকেও খুব ভালো।,Positive
আলহামদুলিল্লাহ ভালো প্রোডাক্ট। সবকিছু ঠিকঠাকমতো পেয়েছি।,Positive
বাজেটের মধ্যে খুব ভালো একটি প্রোডাক্ট,Positive
"খুব প্রয়োজনীয় একটি জিনিস, অল্প টাকার মধ্যে পেয়ে গেলাম। ধন্যবাদ সেলারকে।",Positive
কথা আর কাজের মিল পেয়েছি।ধন‍্যবাদ দারাজ টিমকে,Positive
 স্ক্রু ড্রাইভার গুলো যেমন মনে করেছিলাম তেমন হয়নি,Negative
মোবাইলের তারা নিয়েন না এর মাধ্যমে মোবাইলের স্ক্রু খোলা যায়না,Negative
অভারঅল সবকিছুই ঠিকঠাক পেয়েছি ধন্যবাদ সেলারকে ধন্যবাদ দারাজ কে।,Positive
মূল্য হিসেবে পণ্যটি ভালো ।,Positive
খুব ভালো। আমার প্রাইস হিসাবে অনেক অনেক ভালো লাগছে।,Positive
এই দামে এতো ভালো জিনিস আশা করা যায়না।,Positive
কিন্তু কম দামে পেয়েছি।আপনারা চাইলে নিতে পারেন অনেক ভালো প্রোডাক্ট,Positive
ছোটকাটো কাজে ব্যবহারের জন্যে ঠিক আছে।,Positive
প্রফেশনাল কোনো কাজে তেমন একটা কার্যকরী না।,Negative
সেলারকে ধন্যবাদ ঠিকটাক ভাবে পাঠানোর জন্যে।👌👍,Positive
"আপনার কাছে চেয়েছি এক্সেল, আপনি দিয়েছেন ডাবল এক্সেল,,",Negative
 আমি এটা রিটার্ন করতে চাই।,Negative
এটা কি গরুকে পরাবো নাকি আমি পড়বো।,Positive
"আলহামদুলিল্লাহ, প্রডাক্ট টি যে রকম পিকে দেখেছি ঠিক সেই রকম, ",Positive
"কালার সেম সেম আছে প্রডাক্ট দাম হিসেবে অনেক ভালো, ",Positive
"প্যাকিজিং অনেক ভালো, আর তারাতারি পেয়েছি ধন্যবাদ সেলার দের।",Positive
"আলহামদুলিল্লাহ, দাম হিসেবে অনেক ভাল। ",Positive
একটানা সকাল থেকে রাত পর্যন্ত এটা পড়ে ভিজলাম। শরীর হালকা স্যাতস্যাতে হয়ে যায়।৷,Positive
এই দামে এর চেয়ে বেশি আশা করাটাও বোকামি। আমি সন্তুষ্ট।,Positive
"ছোট খাটো কাজের জন্য অনেক ভালো,এই দামে ভালো পন্য,নিতে পারেন সবাই।",Positive
"ধন্যবাদ দারাজ,ধন্যবাদ সেলার কে।",Positive
 ধনব্যাদ এত কম দামে ভালো মানের প্রোডাক্ট দেয়ার জন্য 😘😘😘,Positive
"প্রোডাক্ট ভালো, কমদামেই পেয়েছি। ",Positive
সেলার একটা আতর গিফট করেছে। ধন্যবাদ সেলারকে।,Positive
প্রোডাক্ট দাম অনুযায়ী ঠিক আছে। হালকা এবং সিঙ্গেল লেয়ার।,Positive
 প্যান্টের সাইজও মিলেছে। আমি সম্পূর্ণভাবে সন্তুষ্ট। রিকমন্ডেড।,Positive
ভালোভাবে প্রোডাক্ট পেয়ছি। প্যাকেজিং অনেক ভালো।,Positive
ডেলিভারি ম্যান ও অনেক ভালো মনের একজন মানুষ। দাম হিসেবে সব ঠিক আছে। ,Positive
ম্যাগনেট টা অনেক বেশি উইক।,Negative
 উপরের কভারটায় সূক্ষ্ম ভাঙ্গা ছিল।,Negative
"এই দামের মধ্যে এর থেকে আর ভালো রেইনকোট হতে পারে না,",Positive
" সবাই নিতে পারেন, আশা করি ভালো পাবেন।",Positive
খুবই ভালো।আমাকে হয়তো ভুলে এটা দিয়েছে।,Positive
"দাম অনুযায়ী  অনেক ভাল মানের পন্য,আমার ভাল লেগেছে,",Positive
31 in 1 না দিয়ে এখানে 30 টা পর্যন্ত থাকে এর বেশি না,Negative
"যা চেয়েছি তাই পেয়েছি,  ধন্যবাদ দারাজ।",Positive
ঊপরের প্লাস্টিকের কাভার ফেটে গেছে।,Negative
"চেইন নিচের দিকে ছেঁড়া, পুরাটা খুলা যাচ্ছে না এখন কি করতে পারি বলেন।",Negative
একদম ফালতু । অর্ডার ছিল স্ক্রু ড্রাইভার দিয়েছে পারফিউম ।,Negative
সাইজ ছোট হয়ে গেছে ভাই,Negative
চাইলাম XL সাইজ আর দিলো XXL সাইজ।এটা কেমন হলো?,Negative
সবগুলো স্ক্রু দিয়েছে ভিতরে।,Negative
ভালো প্রডাক্ট পায়নি।,Negative
